task_name,arg_type,phase,iteration,is_causal,dropout,dtype,test_mode,head_dim,batch_size,q_head_num,kv_head_num,q_seq_len,kv_seq_len,consistency
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,8,2048,2048,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,8,4096,4096,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,8,8192,8192,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,8,16384,16384,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,32,32,1024,1024,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,32,32,2048,2048,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,32,32,4096,4096,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,32,32,8192,8192,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,32,32,16384,16384,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,40,40,1024,1024,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,40,40,2048,2048,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,40,40,4096,4096,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,40,40,8192,8192,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,40,40,16384,16384,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,48,48,1024,1024,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,48,48,2048,2048,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,48,48,4096,4096,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,48,48,8192,8192,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,48,48,16384,16384,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,56,1024,1024,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,56,2048,2048,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,56,4096,4096,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,56,8192,8192,True
flash_attention_train,consistency,train,100,True,0.17,bfloat16,consistency,128,1,56,56,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,32,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,32,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,32,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,32,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,32,32,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,40,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,40,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,40,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,40,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,40,40,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,48,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,48,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,48,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,48,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,48,48,16384,16384,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,56,1024,1024,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,56,2048,2048,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,56,4096,4096,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,56,8192,8192,True
flash_attention_train,consistency,train,100,False,0.0,bfloat16,consistency,128,1,56,56,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,8,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,8,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,8,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,8,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,8,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,32,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,32,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,32,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,32,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,32,32,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,40,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,40,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,40,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,40,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,40,40,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,48,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,48,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,48,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,48,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,48,48,16384,16384,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,56,1024,1024,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,56,2048,2048,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,56,4096,4096,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,56,8192,8192,True
flash_attention_train,consistency,train,100,False,0.17,bfloat16,consistency,128,1,56,56,16384,16384,True
